Armour of Questionable Taste, AotG, Armour (any), No
Bag of Barking Stones, AotG, Wondrous Item, No
Bag of Bookworm, AotG, Wondrous Item, No
Belt of Insignificance, AotG, Wondrous Item, No
Brooch of Authority, AotG, Wondrous Item, No
Coin of Favour, AotG, Wondrous Item, No
Crescendo Batons, AotG, Wondrous Item, No
Dante's Box of Chocolates, AotG, Food (chocolate), No
Equinculus Potion, AotG, Potion, No
Flask of the Caravanserai, AotG, Wondrous Item, No
Flutterin' Fan, AotG, Wondrous Item, No
Hagiographer's Handbook, AotG, Wonderous Item, Yes
Hanged Man's Pardon, AotG, Wondrous Item, Yes
Lantern Helmet, AotG, Wondrous Item, No
Maximus's Broom of Sweeping, AotG, Wondrous Item, No
Polarizing Piton, AotG, Wondrous Item, Yes
Potion Purse, AotG, Wondrous Item, No
Pouch of Slumber, AotG, Wondrous Item, No
Raskin's Splenectomy Knife, AotG, Weapon (dagger), No
Rings of Enmity, AotG, Ring, No
Rustic Charm, AotG, Wondrous Item, Yes
Scentless Brooch, AotG, Wondrous Item, Yes
Shard of Healing, AotG, Wondrous Item, No
Statue Scepter, AotG, Rod, No
Styler's Hairpin, AotG, Wondrous Item, No
Tinsel's Prismatic Quill, AotG, Wondrous Item, No
Wooden Canary, AotG, Wondrous Item, Yes 
Armour of Gleaming, XGtE, Armour(medium or Heavy), No
Bead of Nourishment, XGtE, Wondrous Item, No
Bead of Refreshment, XGtE, Wondrous Item, No
Boots of False Tracks, XGtE, Wondrous Item, No
Candle of the Deep, XGtE, Wondrous Item, No 
Cast-Off Armour, XGtE, Armour(light, medium or heavy), No
Charlatan's Die, XGtE, Wondrous, Yes
Cloak of Billowing, XGtE, Wondrous Item, No
Cloak of Many Fashions, XGtE, Wondrous Item, No
Clockwork Amulet, XGtE, Wondrous Item, No
Clothes of Mending, XGtE, Wondrous Item, No
Dark Shard Amulet, XGtE, Wondrous Item, Yes
Dread Helm, XGtE, Wondrous Item, No
Ear Horn of Hearing, XGtE, Wondrous Item, No
Enduring Spellbook, XGtE, Wondrous Item, No
Ersatz Eye, XGtE, Wondrous Item, Yes
Hat of Vermin, XGtE, Wondrous Item, No
Hat of Wizardry, XGtE, Wondrous Item, Yes
Heward's Handy Spice Pouch, XGtE, Wondrous Item, No
Horn of Silent Alarm, XGtE, Wondrous Item, No
Instrument of Illusion, XGtE, Wondrous Item, Yes
Instrument of Scribing, XGtE, Wondrous Item, Yes
Lock of Trickery, XGtE, Wondrous Item, No
Moon-Touched Sword, XGtE, Weapon(sword), No
Mystery Key, XGtE, Wondrous Item, No
Orb of Direction, XGtE, Wondrous Item, No
Orb of Time, XGtE, Wondrous Item, No
Perfume of Bewitching, XGtE, Wondrous Item, No
Pipe of Smoke Monsters, XGtE, Wondrous Item, No
Pole of Angling, XGtE, Wondrous Item, No
Pole of Collapsing, XGtE, Wondrous Item, No
Pot of Awakening, XGtE, Wondrous Item, No
Rope of Mending, XGtE, Wondrous Item, No
Ruby of the War Mage, XGtE, Wondrous Item, Yes
Shield of Expression, XGtE, Armour(shield), No
Smouldering Armour, XGtE, Armour(any), No
Staff of Adornment, XGtE, Staff, No
Staff of Birdcalls, XGtE, Staff, No
Staff of Flowers, XGtE, Staff, No
Talking Doll, XGtE, Wondrous Item, Yes
Tankard of Sobriety, XGtE, Wondrous Item, No
Unbreakable Arrow, XGtE, Weapon(arrow), No
Walloping Ammunition, XGtE, Weapon(any ammunition), No
Wand of Conduction, XGtE, Wand, No
Wand of Pyrotechnics, XGtE, Wand, No
Wand of Scowls, XGtE, Wand, No
Wand of Smiles, XGtE, Wand, No
Potion of Climbing, DMG, Potion, No
Potion of Healing, DMG, Potion, No
Spell Scroll (1st lvl), DMG, Scroll, No
Spell Scroll (cantrip), DMG, Scroll, No
