Airstep Shroud, AotG, Wondrous Item, Yes
Alamire's Alchemical Alembic, AotG, Wondrous Item, No
Amber Tarantula Hawk, AotG, Wondrous Item, No
Amulet of Armouring, AotG, Wondrous Item, Yes
Anvil of Kings, AotG, Wondrous Item, Yes
Bag of Enveloping Darkness, AotG, Wondrous Item, No
Battlecrazed Axe, AotG, Weapon(axe), Yes
Blade of the Icequeen's Champion, AotG, Weapon(longsword), Yes
Bone Blowpipe, AotG, Weapon(blowpipe), No
Boots of Deadly Leaping, AotG, Wondrous Item, Yes
Boots of the Frost, AotG, Wondrous Item, Yes
Bracers of Infinite Blades, AotG, Wondrous Item, Yes
Bracers of Lifestealing, AotG, Wondrous Item, Yes
Call to Prayer, AotG, Weapon(mace), Yes
Charred Cloak, AotG, Wondrous Item, Yes
Coin of Many, AotG, Wondrous Item, Yes
Creeping Rot, AotG, Weapon(dagger), No
Deadhead Pennies, AotG, Wondrous Item, No
Dowager's Finger, AotG, Wand, Yes
Dreamer's Eye, AotG, Wondrous Item, Yes
Eavesdropper Gauntlet, AotG, Wondrous Item, Yes
Elemental Fists, AotG, Wondrous Item, Yes
Exploding Studded Armour, AotG, Armour(studded leather), Yes
Eye of Truth, AotG, Wondrous Item, Yes
Froghemoth's Boon, AotG, Wondrous Item, Yes
Gauntlets of Burrowing, AotG, Wondrous Item, Yes
Halfling's Exit, AotG, Weapon(javelin), Yes
Hood of the Falconer, AotG, Wondrous Item, No
Hush Money, AotG, Wondrous Item, No
Kiira, AotG, Wondrous Item, Yes
Leacher's Emerald, AotG, Wondrous Item, Yes
Life Drain, AotG, Weapon)sword), Yes
Locking Plates, AotG, Armour(plate), No
Longshot, AotG, Weapon(longbow), Yes
Magic Magnifier, AotG, Wondrous Item, No
Manacles of the Mundane, AotG, Wondrous Item, No
Mantle of the Mage, AotG, Wondrous Item, Yes
Manual: About the Art of Fighting, Volumes I to VI, AotG, Wondrous Item, No
Manual: Armour's Guide to Survival, AotG, Wondrous Item, No
Metrigash, AotG, Wondrous Item, Yes
Necklace of Readiness, AotG, Wondrous Item, Yes
Oykron Crystals, AotG, Wondrous Item, No
Painted Lady, AotG, Wand, Yes
Pendygraft's Living Bestiary, AotG, Wondrous Item, Yes
Pine of Glacial Cold, AotG, Wondrous Item, Yes
Pipes of the Damned, AotG, Wondrous Item, Yes
Portable Pit, AotG, Wondrous Item, No
Potion of Shadow Form, AotG, Potion, No
Prospero's Mask, AotG, Wondrous Item, Yes
Quaal's Feather Token Serpent, AotG, Wondrous Item, No
Returning Weapons, AotG, Weapon(any), Yes
Ring of the Mighty Fist, AotG, Ring, No
Ring of Transformative Luminescence, AotG, Ring, Yes
Rogue's Vest, AotG, Armour(light), Yes
Shard of the Namestone, AotG, Wondrous Item, Yes
Shard of Healing, AotG, Wondrous Item, No
Shield of Consent, AotG, Armour(shield), No
Shield of Tall Tales, AotG, Armour(shield), Yes
Specter's Pendant, AotG, Wondrous Item, No
Staff of the Wyrmling, AotG, Staff, Yes
Studded Leather of Orchish Unkind, AotG, Armour(studded leather), Yes
Syti Necklace, AotG, Wondrous Item, Yes
Talking Skull, AotG, Wondrous Item, No
Tears of Akadi, AotG, Wondrous Item, Yes
Tempest's Howl, AotG, Weapon(rapier), Yes
Thief's Dagger, AotG, Weapon(dagger), No
Tick-Tock-Time-Travel Clock, AotG, Wondrous Item, Yes
Title Belt, AotG, Wondrous Item, Yes
Tsarina's Balalaika, AotG, Wondrous Item, Yes
Wand of Ooze, AotG, Wand, Yes
Widow's Fangs, AotG, Wondrous Item, Yes
Willow-Dark Tome, AotG, Wondrous Item, Yes
Wishbone, AotG, Weapon(club), No
Wrath of The Sea, AotG, Weapon(rapier), Yes
Ammunition +2, DMG, Weapon(ammunition), No
Amulet of Health, DMG, Wondrous Item, Yes
Armour +1, DMG, Armour(light, medium or heavy), No
Armour of Resistance, DMG, Armour(light, medium or heavy), Yes
Armour of Vulnerability, DMG, ARmour(plate), Yes
Arrow-Catching Shield, DMG, Armour(shield), Yes
Bag of Beans, DMG, Wondrous Item, No
Bead of Force, DMG, Wondrous Item, No
Belt of Dwarvenkind, DMG, Wondrous Item, Yes
Belt of Giant Strength (hill), DMG, Wondrous Item, Yes
Berserker Axe, DMG, Weapon(axe), Yes
Boots of Levitation, DMG, Wondrous Item, Yes
Boots of Speed, DMG, Wondrous Item, Yes
Bowl of Command Water Elementals, DMG, Wondrous Item, No
Bracers of Defence, DMG, Wondrous Item, Yes
Brazier of Command Fire Elementals, DMG, Wondrous Item, No
Cape of the Mountebank, DMG, Wondrous Item, No
Censer of Controlling Air Elementals, DMG, Wondrous Item, No
Chime of Opening, DMG, Wondrous Item, No
Cloack of Displacement, DMG, Wondrous Item, Yes
Cloack of the Bat, DMG, Wondrous Item, Yes
Cube of Force, DMG, Wondrous Item, Yes
Daern's Instant Fortress, DMG, Wondrous Item, No
Dagger of Venom, DMG, Weapon(dagger), No
Dimensional Shackles, DMG, Wondrous Item, No
Dragon Slayer, DMG, Weapon(sword), No
Elixir of Health, DMG, Potion, No
Elven Chain, DMG, Armour(chain shirt), No
Figuring of Wondrous Power (Bronze Griffon), DMG, Wondrous Item, No
Figuring of Wondrous Power (Ebony Fly), DMG, Wondrous Item, No
Figuring of Wondrous Power (Golden Lions), DMG, Wondrous Item, No
Figuring of Wondrous Power (Ivory Goats), DMG, Wondrous Item, No
Figuring of Wondrous Power (Marble Elephant), DMG, Wondrous Item, No
Figuring of Wondrous Power (Onyx Dog), DMG, Wondrous Item, No
Figuring of Wondrous Power (Serpentine Owl), DMG, Wondrous Item, No
Flame Tongue, DMG, Weapon(sword), Yes
Folding Boat, DMG, Wondrous Item, No
Gem of Seeing, DMG, Wondrous Item, Yes
Giant Slayer, DMG, Weapon(sword or axe), No
Glamoured Studded Leather, DMG, Armour(studded leather), No
Helm of Teleportation, DMG, Wondrous Item, Yes
Heward's Handy Haversack, DMG, Wondrous Item, No
Horn of Blasting, DMG, Wondrous Item, No
Horn of Valhalla (Silver), DMG, Wondrous Item, No
Horn of Valhalla (Brss), DMG, Wondrous Item, No
Horseshoes of Speed, DMG, Wondrous Item, No
Instrument of the Bard (Canaith Mandolin), DMG, Wondrous Item, Yes
Instrument of the Bard (Cli Lyre), DMG, Wondrous Item, Yes
Loun Stone (Awareness), DMG, Wondrous Item, Yes
Loun Stone (Protection), DMG, Wondrous Item, Yes
Loun Stone (Reserve), DMG, Wondrous Item, Yes
Loun Stone (Sustenance), DMG, Wondrous Item, Yes
Iron Bands of Bilarro, DMG, Wondrous Item, No
Mace of Disruption, DMG, Weapon(mace), Yes
Mace of Smiting, DMG, Weapon(mace), No
Mace of Terror, DMG, Weapon(mace), Yes
Mantle of Spell Resistance, DMG, Wondrous Item, Yes
Necklace of Fireballs, DMG, Wondrous Item, No
Necklace of Prayer Beads, DMG, Wondrous Item, Yes
Oil of Etherealness, DMG, Potion, No
Periapt of Proof Against Poison, DMG, Wondrous Item, No
Portable Hole, DMG, Wondrous Item, No
Potion of Clairvoyance, DMG, Potion, No
Potion of Diminution, DMG, Potion, No
Potion of Gaseous Form, DMG, Potion, No
Potion of Giant Strength (fire), DMG, Potion, No
Potion of Giant Strength (frost), DMG, Potion, No
Potion of Giant Strength (stone), DMG, Potion, No
Potion of Heroism, DMG, Potion, No
Potion of Invulnerability, DMG, Potion, No
Potion of Mind Reading, DMG, Potion, No
Potion of Superior Healing, DMG, Potion, No
Quaal's Feather Token, DMG, Wondrous Item, No
Ring of Animal Influence, DMG, Ring, No
Ring of Evasion, DMG, Ring, Yes
Ring of Feather Falling, DMG, Ring, Yes
Ring of Free Action, DMG, Ring, Yes
Ring of Protection, DMG, Ring, Yes
Ring of Resistance, DMG, Ring, Yes
Ring of Spell Storing, DMG, Rinf, Yes
Ring of the Ram, DMG, Ring, Yes
Ring of X-Ray Vision, DMG, Ring, Yes
Robe of Eyes, DMG, Wondrous Item, Yes
Rod of Rulership, DMG, Rod, Yes
Rod of the Pact Keeper +2, DMG, Rod, Yes
Robe of Entanglement, DMG, Wondrous Item, No
Scroll of Protection, DMG, Scroll, No
Shield +2, DMG, Armour(shield), No
Shield of Missile Attraction, DMG, Armour(shield), Yes
Spell Scroll (lvl 4), DMG, Scroll, No
Spell Scroll (lvl 5), DMG, Scroll, No
Staff of Charming, DMG, Staff, Yes
Staff of Healing, DMG, Staff, Yes
Staff of Swarming Insect, DMG, Staff, Yes
Staff of the Woodlands, DMG, Staff, Yes
Staff of Withering, DMG, Staff, Yes
Stone of Controlling Earth Elementals, DMG, Wondrous Item, No
Sun Blade, DMG, Weapon(longsword), Yes
Sword of Life Stealing, DMG, Weapon(sword), Yes
Sword of Wounding, DMG, Weapon(sword), Yes
Tentacle Rod, DMG, Rod, Yes
Vicious Weapon, DMG, Weapon(any), Weapon(any), No
Wand of Binding, DMG, Wand, Yes
Wand of Enemy Detection, DMG, Wand, Yes
Wand of Fear, DMG, Wand, Yes
Wand of Fireball, DMG, Wand, Yes
Wand of Lightning Bolts, DMG, Wand, Yes
Wand or Paralysis, DMG, Wand, Yes
Wand of the War Mage +2, DMG, Wand, Yes
Wand of Wonder, DMG, Wand, Yes
Weapon +2, DMG, Weapon(any), No
Wings of Flying, DMG, Wondrous Item, Yes
Book of Mispells, DMG, Wondrous Item, No
