Authority, AotG, Weapon(sword), Yes
Baldur's Gatehouse, AotG, Wondrous Item, No
Black Kumade, AotG, Weapon(javelin), Yes
Death Knight's Dread Helm, AotG, Wondrous Item, Yes
Death Knight's Dread Plate, AotG, Armour(plate), Yes
Death Knight's Dread Shield, AotG, Armour(shield), Yes
Death Knight's Dread Sword, AotG, Weapon(longsword), Yes
Dimensional Lock Picks, AotG, Wondrous Item, No
Eye of the Firestorm, AotG, Wondrous Item, Yes
Fey-Touched Summoning Egg, AotG, Wondrous Item, No
Fornas, AotG, Weapon(greataxe), Yes
Golden Lords Plate, AotG, Armour(full plate), Yes
Gruumsh's Blessing, AotG, Weapon(greataxe), Yes
Heart of Hydrathis, AotG, Wondrous Item, Yes
Hu'i Wing, AotG, Wondrous Item, No
Jehanel's Folly, AotG, Weapon(longsword), Yes
Nyoom, AotG, Staff, Yes
Oykron Crystals, AotG, Wondrous Item, No
Performer's Topaz, AotG, Wondrous Item, Yes
Portable Campsite, AotG, Wondrous Item, No
Ring of High Magic, AotG, Ring, Yes
Rod of Tentacles Eyes and Mouths, AotG, Rod, Yes
Rod of the Purple Sun, AotG, Wondrous Item, Yes
Speaking Stone, AotG, Wondrous Item, Yes
Spectacles of Mind-Shuttering, AotG, Wondrous Item, Yes
Sphere of the Wretched, AotG, Wondrous Item, No
Staff of the Dragon, AotG, Staff, Yes
Starlight, AotG, Wondrous Item, Yes
Stolen Star, AotG, Wondrous Item, No
Stone of True Resurrection, AotG, Wondrous Item, No
Sunray, AotG, Weapon(longsword), Yes
True Death Arrow, AotG, Weapon(arrow), No
Apparatus of Kwalish, DMG, Wondrous Item, No
Armour +3, DMG, Armou(light, medium or heavy), No
Armour of Invulnerability, DMG, Armour(plate), Yes
Belt of Giant Strength (cloud), DMG, Wondrous Item, Yes
Belt of Giant Strength (storm), DMG, Wondrous Item, Yes
Cloak of Invisibility, DMG, Wondrous Item, Yes
Crystal Ball, DMG, Wondrous Item, Yes
Cubic Gate, DMG, Wondrous Item, No
Deck of Many Things, DMG, Wondrous Item, No
Defender, DMG, Weapon(sword), Yes
Efreeti Chain, DMG, Armour(chain mail), Yes
Hammer of Thunderbolt, DMG, Weapon(maul), No
Holy Avenger, DMG, Weapon(sword), Yes
Horn of Valhalla (iron), DMG, Wondrous Item, No
Instrument of the Bard (Ollamh Harp), DMG, Wondrous Item, Yes
Loun Stone (greater absorption), DMG, Wondrous Item, Yes
Loun Stone (mastery), DMG, Wondrous Item, Yes
Loun Stone (regeneration), DMG, Wondrous Item, Yes
Iron Flask, DMG, Wondrous Item, No
Luck Blade, DMG, Weapon(sword), Yes
Plate Armour of Etherealness, DMG, Armour(plate), Yes
Potion of Giant Strength (storm), DMG, Potion, No
Ring of Djinni Summoning, DMG, Ring, Yes
Ring of Elemental Command, DMG, Ring, Yes
Ring of Invisibility, DMG, Ring, Yes
Ring of Spell turning, DMG, Ring, Yes
Ring of Three Wishes, DMG, Ring, No
Robe of the Archmagi, DMG, Wondrous Item, Yes
Rod of Lordly Might, DMG, Rod, Yes
Rod of Resurrection, DMG, Rod, Yes
Sovereign Glue, DMG, Wondrous Item, No
Spell Scroll (lvl 9), DMG, Scroll, No
Sphere of Annihilation, DMG, Wondrous Item, No
Staff of the Magi, DMG, Staff, Yes
Sword of Answering, DMG, Weapon(longsword), Yes
Talisman of Pure Good, DMG, Wondrous Item, Yes
Talisman of the Sphere, DMG, Wondrous Item, Yes
Talisman of Ultimate Evil, DMG, Wondrous Item, Yes
Tome of the Stilled Tongue, DMG, Wondrous Item, Yes
Universal Solvent, DMG, Wondrous Item, No
Vorpal Sword, DMG, Weapon(slashing damage sword), Yes
Well of Many Worlds, DMG, Wondrous Item, No
