Barryat the Vicious, AotG, Wondrous Item, No
Beans of Jumping, AotG, Wondrous Item, No
Boots of the Wood Elves, AotG, Weapon(longbow), Yes
Brava's Bustling Beetles, AotG, Wondrous Item, No
Breath Mask, AotG, Wondrous Item, No
Burglar's Dagger, AotG, Weapon(dagger), No
Collar of Articulation, AotG, Wondrous Item, No
Deathbane Berries, AotG, Wondrous Item, No
Dragon's Blood, AotG, Wondrous Item, No
Dragon's Remnant, AotG, Wondrous Item, Yes
Earplugs of the Bulette, AotG, Wondrous Item, No
Ejection Amulet, AotG, Wondrous Item, Yes
Elemental Touched Mesh, AotG, Wondrous Item, No
Emir's Ring, AotG, Ring, No
Extend-o-Matic, AotG, Wondrous Item, No
Floral Scented Brooch, AotG, Wondrous Item, Yes
Forlorn Mantle, AotG, Wondrous Item, No
Gloves of Dagger Throwing, AotG, Wondrous Item, No
Gloves of Darkness, AotG, Wondrous Item, Yes
Guardwell's Aggressive Caltrops, AotG, Wondrous Item, No
Guardwell's Alarming Caltrops, AotG, Wondrous Item, No
Guardwell's Entangling Caltrops, AotG, Wondrous Item, No
Hands of the Crafter, AotG, Wondrous Item, No
Hearthmead, AotG, Potion, No
Hellfire Stone, AotG, Wondrous Item, Yes
Hello World Shield, AotG, Armour(shield), Yes
Hellrazor, AotG, Weapon(sword), Yes
Helm of Apathy, AotG, Wondrous Item, Yes
Humerus of St.hildegaard, AotG, Weapon(club), Yes
Kildirn's Singing Stein, AotG, Wondrous Item, No
Lantern of the Morning Lord, AotG, Wondrous Item, No
Liewyrrian Blinders, AotG, Wondrous Item, Yes
Logbow, AotG, Weapon(longbow), No
Lot #184, AotG, Weapon(handaxe and hand crossbow), No
Lonqui's Luck, AotG, Wondrous Item, No
Manual: About the Clashing of Steel, Volumes I to XX, AotG, Wondrous Item, No
Mask of Truth, AotG, Wondrous Item, No
Message Mirror, AotG, Wondrous Item, No
Minsc's Magnificent Miniature Menagerie, AotG, Wondrous Item, Yes
Mummer's Lantern, AotG, Wondrous Item, No
Necklace of Missals, AotG, Wondrous Item, No
Necklace of Thirst, AotG, Wondrous Item, No
Nullmagic Shield, AotG, Armour(shield), No
Pendant of the Unrelenting March, AotG, Wondrous Item, Yes
Psyforged Blade, AotG, Weapon(short or long sword), Yes
Pylon of Blessed Power, AotG, Armour(medium), Yes
Redbeard's Eyepatch, AotG, Wondrous Item, Yes
Ring of Displeasure, AotG, Ring, No
