Amulet of Dimensions, AotG, Wondrous Item, Yes
Armour of Animal Aspects, AotG, Armour(half-plate), Yes
Bandage of the Blind Monk, AotG, Wondrous Item, Yes
Bell Ringer, AotG, Weapon(maul), Yes
Black Blade of Vartigan, AotG, Weapon(bladed), Yes
Blade of Elements, AotG, Weapon(longsword), Yes
Blanket if Blending, AotG, Wondrous Item, Yes
Blood Mask, AotG, Wondrous Item, Yes
Bloodhound, AotG, Weapon(longsword), Yes
Boomeraxe, AotG, Weapon(handaxe), Yes
Breastplate of Forgotten Anguish, AotG, Armour(breastplate), Yes
Breath of Zephyr, AotG, Wondrous Item, Yes
Chainmail of Lion's Roar, AotG, Armour(chainmail), Yes
Cloak of the Wind Rider, AotG, Wondrous Item, Yes
Clockwork Companion, AotG, Wondrous Item, Yes
Crown of Black Pearls, AotG, Wondrous Item, Yes
Dagger of Banishing, AotG, Weapon(dagger), Yes
Deck of Few Things, AotG, Wondrous Item, No
Earthbreaker Gauntlet, AotG, Wondrous Item, Yes
Earthen Bell, AotG, Wondrous Item, Yes
Extinguish, AotG, Weapon(bow), Yes
Firetooth, AotG, Weapon(war pick), Yes
Flayer's Gauntlet, AotG, Wondrous Item, Yes
Foliage Ring, AotG, Ring, No
Gauntlets of Forgotten Anger, AotG, Wondrous Item, No
Gift of Graz'zt, AotG, Wondrous Item, Yes
Gloves of Life and Death, AotG, Wondrous Item, Yes
Goggles of Naldrichor, AotG, Wondrous Item, Yes
Granfang, AotG, Weapon(sword), No
Hedge's Handy Herbal, AotG, Wondrous Item, Yes
Hell's Scream, AotG, Weapon(staff), Yes
Helm of Forgotten Memories, AotG, Wondrous Item, Yes
Key to the Heart, AotG, Wondrous Item, Yes
Lightning Surge, AotG, Weapon(spear or sword), Yes
Loaded Dice, AotG, Wondrous Item, Yes
Lyre of Building, AotG, Wondrous Item, Yes
Noisy Cricket, AotG, Wand, Yes
Olhydra's Tear, AotG, Weapon(sword), Yes
Oykron Crystals, AotG, Wondrous Item, No
Pick Insect, AotG, Wondrous Item, Yes
Puppeteer's Vial, AotG, Wondrous Item, No
Ring of the Mighty Fist, AotG, Ring, No
Robes of Shadowmyst, AotG, Wondrous Item, Yes
Runehammer, AotG, Weapon(warhammer), Yes
Scarmantle, AotG, Armour(plate), Yes
Serpent Stride Armour, AotG, Armour(medium), Yes
Shard of Healing, AotG, Wondrous Item, No
Shatterrain, AotG, Weapon(scimitar), Yes
Silver Sorrow, AotG, Weapon(sword), Yes
Silver of Far Realm, AotG, Wondrous Item, No
Staff of Arcane Empowerment, AotG, Staff, Yes
Staff of Warding, AotG, Staff, Yes
Step Back, AotG, Ring, No
Tajak Scimitar, AotG, Weapon(scimitar), Yes
Tome of the White Head, AotG, Wondrous Item, Yes
Trinket of Elemental Protection, AotG, Wondrous Item, Yes
Troll Claw, AotG, Wondrous Item, Yes
Verdaer Imperial Quiver, AotG, Wondrous Item, Yes
Will of the One, AotG, Wondrous Item, Yes
Zephyr the Broom of Flying, AotG, Wondrous Item, Yes
Ammunition +3, DMG, Weapon(ammunition), No
Amulet of the Planes, DMG, Wondrous Item, Yes
Animated Shield, DMG, Armour(shield), Yes
Armour +2, DMG, Armour(light, medium or heavy), No
Arrow of Slaying, DMG, Weapon(arrow), No
Bad of Devouring, DMG, Wondrous Item, No
Belt of Giant Strength (fire), DMG, Wondrous Item, Yes
Belt of Giant Strength (frost), DMG, Wondrous Item, Yes
Belt of Giant Strength (stone), DMG, Wondrous Item, Yes
Candle of Invocation, DMG, Wondrous Item, Yes
Carpet of Flying, DMG, Wondrous Item, No
Cloak of Arachnida, DMG, Wondrous Item, Yes
Crystal Ball, DMG, Wondrous Item, Yes
Dancing Sword, DMG, Weapon(sword), Yes
Demon Armour, DMG, Armour(plate), Yes
Dragon Scale Mail, DMG, Armour(scale mail), Yes
Dwarven Plate, DMG, Armour(plate), No
Dwarven Thrower, DMG, Weapon(warhammer), Yes
Efreeti Bottle, DMG, Wondrous Item, No
Figure of Wondrous Power (obsidian steed), DMG, Wondrous Item, No
Frost Brand, DMG, Weapon(sword), Yes
Helm of Brilliance, DMG, Wondrous Item, Yes
Horn of Valhalla (bronze), DMG, Wondrous Item, No
